osmid,y,x
245662490,19.0333093,72.8886138
245663765,19.0455324,72.9140531
245663817,19.045855,72.9051082
245663877,19.0460893,72.9094591
245663894,19.0462973,72.9089703
245663961,19.0466165,72.9141073
245664055,19.0481928,72.9144325
245664114,19.0488394,72.9100462
245664187,19.049908,72.9005559
245664191,19.0499086,72.9003015
245664455,19.0505089,72.900306
245664662,19.0520984,72.9005347
245664764,19.0527529,72.9008717
245664779,19.0529987,72.8804974
245664842,19.0538405,72.8880497
245664865,19.053492,72.8809354
245664866,19.0533102,72.8823963
245664869,19.0539471,72.8893813
245664905,19.0539841,72.8946942
245665060,19.0549396,72.9109894
245665186,19.0548287,72.9005079
245665197,19.0563775,72.8837233
245665275,19.0561448,72.8974389
245665303,19.056642,72.8952415
245665304,19.0565067,72.8958394
245665307,19.0564351,72.8978484
245665344,19.0567284,72.9005503
245665354,19.056904,72.8872739
245665375,19.0572667,72.9038382
245665419,19.0573258,72.9005625
245665475,19.0579183,72.9038418
245665495,19.0579894,72.900576
245665583,19.0573215,72.8869918
245665597,19.0585235,72.9038277
245665637,19.0583939,72.8984173
245665679,19.0587817,72.8858965
245665680,19.0591177,72.9038573
245665702,19.0593098,72.8995596
245665723,19.0591704,72.9006001
245665748,19.0598306,72.8985041
245665776,19.0596332,72.8964358
245665982,19.0606543,72.8984205
245666164,19.06202,72.8834352
245666475,19.0630091,72.9149519
245667692,19.0735183,72.9028377
245668052,19.0759669,72.8800151
245668490,19.0792963,72.9079577
245668515,19.0796532,72.8803239
278919343,19.0390888,72.8948845
278919550,19.0390665,72.8947592
528785879,19.046075,72.9088011
528785934,19.0457367,72.9092659
528785949,19.0457295,72.9090118
529576444,19.0505199,72.9005172
619305731,19.0748371,72.9127401
632299700,19.0455063,72.8932657
632312691,19.0420862,72.8934702
632312696,19.047734,72.8933346
632313012,19.0507622,72.8938663
632313274,19.0533218,72.8898799
1157625205,19.0686422,72.9038561
1232643956,19.0689075,72.8987337
1232644012,19.0685557,72.900476
1232644013,19.0679594,72.8923582
1232644156,19.0679354,72.8971045
1232644197,19.0681221,72.9026691
1232644316,19.0676829,72.8927213
1232644335,19.0667369,72.8949664
1232644362,19.0650845,72.8964352
1232644427,19.0673842,72.9022692
1232644443,19.0677398,72.8985023
1232644505,19.0643742,72.8976319
1232644512,19.063349,72.8983876
1232644519,19.0685331,72.8993155
1232644609,19.0700041,72.8983556
1232644635,19.0677185,72.8947132
1232644648,19.0700538,72.8964595
1232644665,19.0683195,72.8924407
1232644726,19.0658987,72.8954855
1232644762,19.0674623,72.9022101
1232644770,19.0697085,72.8970738
1232644913,19.0700425,72.9037499
1232644920,19.0704553,72.8989883
1232644928,19.0706496,72.8987012
1232644986,19.0642315,72.8977483
1336408320,19.0522593,72.9168874
1336410620,19.0545188,72.914435
1336410623,19.0535348,72.914297
1351234029,19.0612301,72.908286
1351234030,19.0606754,72.9127058
1351234053,19.0633795,72.9025325
1351247410,19.0620317,72.9175698
1351247411,19.0613343,72.9171401
1366008977,19.0650538,72.8807541
1366009007,19.066763,72.8825525
1366009025,19.068241,72.8823152
1366009050,19.0701287,72.8804319
1366009086,19.0746057,72.8838291
1366009129,19.0762088,72.8825456
1366009151,19.0770518,72.8833953
1366027980,19.0761381,72.8816826
1366027983,19.0772722,72.8857407
1366054221,19.0770508,72.8995913
1366794970,19.0553834,72.9111052
1366795076,19.0573668,72.9135601
1366795134,19.0589624,72.9143301
1366857439,19.0554078,72.9105434
1366857555,19.0621254,72.9005919
1366857600,19.0630759,72.8985532
1366857603,19.0647313,72.887957
1366900426,19.0605357,72.9165115
1366900438,19.0619089,72.9031195
1366938229,19.0632504,72.9138851
1366938236,19.0636912,72.9124246
1366938254,19.0652085,72.8992768
1366938264,19.0650846,72.9069519
1366938274,19.0657801,72.9071188
1366938303,19.0671773,72.903277
1366938309,19.0677208,72.903139
1366938348,19.0690797,72.9061928
1366956109,19.0623128,72.9176971
1366956128,19.0633282,72.9173711
1366956140,19.0636203,72.9183507
1366956158,19.0641424,72.9186193
1366956173,19.0647088,72.9189163
1366956178,19.0648702,72.9184943
1366956182,19.0649843,72.9182583
1366956184,19.0650654,72.9181203
1366956189,19.0652355,72.9191901
1366956200,19.0652317,72.9198157
1366956203,19.0654124,72.9187478
1366956223,19.0657272,72.9181405
1366956224,19.0658116,72.9194895
1366956257,19.0659447,72.919063
1366956259,19.0660696,72.9188134
1366956262,19.06611,72.9187328
1366956264,19.0663377,72.9197608
1366956270,19.0666155,72.9199079
1366956271,19.0666075,72.9191064
1366956274,19.0666849,72.9189495
1366956275,19.0669639,72.9190699
1366986942,19.0309798,72.8968473
1366986948,19.0327236,72.8962939
1366986952,19.0330269,72.8978893
1366986955,19.0330281,72.9020942
1366987045,19.0466082,72.9094706
1366987053,19.0473303,72.9160374
1367092731,19.0519732,72.9105928
1367092760,19.0525581,72.9070626
1367092768,19.0527157,72.9071901
1367092773,19.0527541,72.9059484
1367092779,19.0528001,72.9055951
1367092892,19.0553439,72.9078051
1367092904,19.0562772,72.9052936
1367092912,19.0563945,72.9099416
1367092932,19.0571135,72.9043167
1367092933,19.0570998,72.9038496
1367092952,19.0580741,72.8863952
1367092973,19.0593096,72.9068679
1367092986,19.0604161,72.9028
1367092999,19.0605386,72.9041871
1367093009,19.0607002,72.9005783
1367093036,19.0611952,72.9028073
1367093063,19.0614671,72.8911361
1367093072,19.0619919,72.8891577
1367093074,19.0621117,72.8833503
1367093082,19.0624783,72.8922918
1367093086,19.0625799,72.8899703
1367093105,19.063117,72.8930443
1367093112,19.063255,72.8850221
1367093122,19.0634306,72.8905615
1367093147,19.0640469,72.8829626
1367093155,19.0640029,72.8816509
1367093164,19.0641315,72.8815455
1367093170,19.0641696,72.8910922
1367093181,19.0644025,72.8838225
1367093183,19.0643862,72.8945878
1367093218,19.0649327,72.8924794
1367093220,19.0651351,72.8917198
1367093227,19.0652461,72.8913125
1367093348,19.0671013,72.8832485
1367093353,19.066966,72.8829512
1392485609,19.075244,72.8874091
1451876569,19.0784605,72.9105906
1451880130,19.0793666,72.9105473
1451880139,19.0795739,72.9115874
1451880141,19.0782794,72.9111649
1451889981,19.0770075,72.9116938
1451889982,19.0780129,72.9120008
1451889993,19.0770223,72.9111295
1451889994,19.07834,72.9109704
1451898156,19.0789351,72.914291
1451898158,19.0774191,72.9138974
1451898160,19.0785672,72.9146926
1462143098,19.0788686,72.9093051
1473471962,19.0314271,72.8887264
1475178057,19.0459084,72.9088191
1642951748,19.0528192,72.88105
1642951755,19.0529039,72.8813852
1642951800,19.0536044,72.8822871
1642951818,19.0538601,72.8833422
1642951842,19.0544583,72.8816256
