u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,maxspeed,access,ref,bridge,width,tunnel
245664662,529576444,0,22854202,True,Aloysius Soares Marg,secondary,False,176.01899999999998,"LINESTRING (72.9005347 19.0520984, 72.900508 19.0512493, 72.9004955 19.0508516, 72.9004881 19.0506168, 72.9005172 19.0505199)",,,,,,,,
245664764,2248802128,0,122303827,False,Janardan Patil Road,tertiary,True,74.319,"LINESTRING (72.9008717 19.0527529, 72.9014379 19.052775, 72.9015782 19.0527805)",1,,60,,,,,
245664764,2238597924,0,214287319,True,Dayanand Saraswati Marg (Central Avenue Road),secondary,False,27.469,"LINESTRING (72.9008717 19.0527529, 72.9008608 19.0526644, 72.9008212 19.0525686, 72.9007882 19.0525232)",2,,,yes,,,,
245664779,5792168761,0,1238078200,True,Sion Panvel Highway,trunk,False,39.259,"LINESTRING (72.8804974 19.0529987, 72.8808458 19.053126)",5,,,,NH48,,,
245664842,1643351765,0,939231331,False,,residential,True,66.983,"LINESTRING (72.8880497 19.0538405, 72.8880657 19.0532383)",,,,,,,,
245664842,7357709459,0,1235478372,True,Sion Panvel Highway,trunk,False,179.847,"LINESTRING (72.8880497 19.0538405, 72.8875853 19.0538044, 72.8872659 19.0537796, 72.886628 19.0537301, 72.8863443 19.0537081)",4,,,,,,,
245664865,8909137845,0,963128210,True,,secondary,False,110.592,"LINESTRING (72.8809354 19.053492, 72.8812099 19.0534898, 72.8819876 19.0534944)",,,,,,,,
245664865,1642951842,0,"[611811718, 1201941255]",False,Vasantarao Naik Marg,tertiary,"[False, True]",131.726,"LINESTRING (72.8809354 19.053492, 72.880952 19.0535219, 72.8810268 19.0536169, 72.881101 19.0537558, 72.8811638 19.053897, 72.8811898 19.0539632, 72.8812571 19.0541019, 72.8813404 19.0542077, 72.8814201 19.0542901, 72.8816256 19.0544583)",,,,,,,,
245664866,1642951755,0,617622260,True,Sion Panvel Highway,trunk,False,115.697,"LINESTRING (72.8823963 19.0533102, 72.8821024 19.0532218, 72.8818199 19.053106, 72.8816092 19.0530063, 72.8813852 19.0529039)",5,,,,NH48,,,
245664869,2248802276,0,1235478372,True,Sion Panvel Highway,trunk,False,38.819,"LINESTRING (72.8893813 19.0539471, 72.8890122 19.0539344)",4,,,,,,,
245664869,1651387817,0,1238346017,True,S G Barve Marg (C S T Road),secondary,False,18.815,"LINESTRING (72.8893813 19.0539471, 72.8892738 19.0540824)",,,,,,,,
245664905,10939673573,0,1235478373,True,Ramakrishna Chemburkar Marg,secondary,False,28.884,"LINESTRING (72.8946942 19.0539841, 72.8946297 19.0537316)",2,,,,,,,
245664905,4264598303,0,1274398179,True,Sion Panvel Highway,trunk,False,16.191,"LINESTRING (72.8946942 19.0539841, 72.8945412 19.0540011)",4,,,,,,,
245665060,5911339572,0,1105482443,True,N G Acharya Marg,secondary,False,42.392,"LINESTRING (72.9109894 19.0549396, 72.9106959 19.0552011)",,,,,,,,
245665060,10116201906,0,1105482445,True,D P Road,secondary,False,11.945,"LINESTRING (72.9109894 19.0549396, 72.9110166 19.0550439)",,,,,,,,
245665186,6488652331,0,691476652,False,,residential,False,64.986,"LINESTRING (72.9005079 19.0548287, 72.9011262 19.0548257)",,,,,,,,
245665186,6488201809,0,617622259,True,D Saraswati Marg (Central Avenue),secondary_link,False,34.464,"LINESTRING (72.9005079 19.0548287, 72.9005089 19.0546978, 72.9005052 19.0545188)",2,,,yes,,,,
245665197,11143613411,0,1235473841,True,Vasantarao Naik Marg,tertiary,False,8.93,"LINESTRING (72.8837233 19.0563775, 72.8837626 19.0564487)",,,,,,,,
245665197,11143613413,0,1235473845,True,,tertiary,False,30.648,"LINESTRING (72.8837233 19.0563775, 72.8835893 19.0566223)",,,,,,,,
245665197,7383907165,0,1235473846,False,Vasantarao Naik Marg,tertiary,False,25.393,"LINESTRING (72.8837233 19.0563775, 72.8835186 19.0562562)",,,,,,,,
245665275,4357273834,0,22854756,False,Road No 10,secondary,True,109.378,"LINESTRING (72.8974389 19.0561448, 72.8964268 19.0563738)",,,,,,,,
245665275,245665307,0,1240182694,True,,secondary,False,61.84100000000001,"LINESTRING (72.8974389 19.0561448, 72.8974552 19.0562365, 72.8975 19.0563194, 72.8975691 19.0563857, 72.8976561 19.0564292, 72.8977529 19.0564461, 72.8978484 19.0564351)",,roundabout,,,,,,
245665303,245665304,0,22854756,False,Road No 10,secondary,False,64.616,"LINESTRING (72.8952415 19.056642, 72.8958394 19.0565067)",,,,,,,,
245665303,6583608251,0,1240182691,True,Ramakrishna Chemburkar Marg,secondary,False,133.081,"LINESTRING (72.8952415 19.056642, 72.8949997 19.0554672)",2,,,,,,,
245665303,4264598306,0,1240182693,False,Road No 10,secondary,True,11.574,"LINESTRING (72.8952415 19.056642, 72.8951344 19.0566662)",,,,,,,,
245665304,4357273834,0,22854756,False,Road No 10,secondary,False,63.481,"LINESTRING (72.8958394 19.0565067, 72.8964268 19.0563738)",,,,,,,,
245665304,245665303,0,22854756,False,Road No 10,secondary,True,64.616,"LINESTRING (72.8958394 19.0565067, 72.8952415 19.056642)",,,,,,,,
245665304,4357273836,0,259332595,False,,residential,False,120.77,"LINESTRING (72.8958394 19.0565067, 72.8959679 19.057586)",,,,,,,,
245665307,1643351830,0,22854102,True,,secondary,False,40.461999999999996,"LINESTRING (72.8978484 19.0564351, 72.8979363 19.0563981, 72.8980088 19.0563383, 72.8980595 19.0562609, 72.8980838 19.0561729)",,roundabout,,,,,,
