u,v,length
1366009129,1366027980,91.032
1366009151,1647285813,96.105
1366009151,11054434362,39.503
1366009151,12393340593,108.21300000000001
1366027980,11054465485,135.507
1366027980,6117377483,256.809
1366027980,2246472442,87.288
1366027980,1366009129,91.032
1366027983,7401192412,11.383
1366027983,2246472474,91.45
1366027983,4357416049,251.10000000000002
1366054221,1643035306,49.413
1366054221,6569434369,17.723
1366054221,12353524312,588.4939999999999
1366794970,3798943881,39.6
1366795076,5913226347,6.309
1366795134,12637993105,7.608
1366795134,2966349066,64.209
1366857439,1651414421,69.11699999999999
1366857439,1654383155,16.224
1366857555,10151560371,9.792
1366857555,3376195596,123.211
1366857600,1651414481,103.992
1366857600,3376195596,115.713
1366857600,1232644512,37.388000000000005
1366857603,2246471931,41.765
1366857603,2246471825,213.41900000000004
1366857603,2246472002,307.173
1366900426,5913226353,6.485
1366900426,5913226247,42.213
1366900438,2246471663,236.258
1366900438,7370608177,99.02499999999999
1366900438,5911635635,125.164
1366938229,1366938236,161.177
1366938236,9860341846,72.357
1366938236,9860341840,37.388999999999996
1366938254,5865538272,14.961
1366938254,12448362114,20.888
1366938264,2246661031,14.215
1366938274,2242249982,69.741
1366938274,2235210217,236.746
1366938274,2246661031,65.623
1366938303,2163950400,81.145
1366938303,4357289671,52.35
1366938303,1366938309,66.459
1366938309,1366938303,66.459
1366938309,10809175122,132.164
1366938348,2163950402,49.366
1366938348,1665625108,205.015
1366938348,2235206835,293.847
1366956109,5912283073,61.876
1366956109,12395746333,17.838
1366956128,5912283078,15.413
1366956128,1366956140,149.90800000000002
1366956128,5912283077,77.168
1366956140,1366956158,64.554
1366956140,5912283077,68.861
1366956140,1366956128,149.908
1366956158,1366956173,70.291
1366956158,1366956140,64.554
1366956158,1366956182,148.011
1366956173,1366956189,65.254
1366956173,1366956158,70.291
1366956173,1366956178,47.844
1366956178,1366956203,65.914
1366956178,1366956182,27.859
1366956178,1366956173,47.844
1366956182,1366956184,17.078
1366956182,1366956178,27.859
1366956182,1366956158,148.011
1366956184,1366956182,17.078
1366956189,1366956224,71.37
1366956189,1366956173,65.254
1366956189,1366956203,50.474
1366956200,3215559573,71.26
1366956200,12088834966,6.21
1366956203,1366956178,65.914
1366956203,1366956257,67.828
1366956203,1366956189,50.474
1366956203,1366956223,72.793
1366956223,1366956203,72.793
1366956224,1366956264,65.078
1366956224,1366956189,71.37
1366956224,12088863672,52.863
1366956224,1366956257,47.203
1366956257,1366956203,67.828
1366956257,1366956224,47.203
1366956257,1366956259,29.681
1366956259,1366956271,67.273
1366956259,1366956257,29.681
1366956259,1366956262,9.588
1366956262,1366956259,9.588
1366956264,1366956270,34.543
1366956264,1366956224,65.078
1366956264,1366956271,75.033
1366956270,1366956264,34.543
1366956270,1366956275,96.213
1366956271,1366956259,67.273
1366956271,1366956274,18.6
1366956271,1366956264,75.033
1366956274,1366956271,18.6
1366956275,1366956270,96.213
1366986942,10244259982,12.975
1366986942,8695511320,159.41000000000003
1366986948,10244259985,20.667
1366986948,4357265370,50.619
1366986952,9874154272,250.511
1366986952,10244259985,154.595
1366986952,13057621882,63.952999999999996
1366986955,10938932170,22.899
1366986955,2439202824,20.201
1366986955,7311257186,121.483
1366987045,10255078964,30.366
1366987053,3878559854,239.071
1367092731,9679154869,19.087
1367092731,1651414388,270.842
1367092731,245665060,332.953
1367092760,1367092773,119.42099999999999
1367092760,1367092768,23.469
1367092760,2248801928,122.167
1367092768,12432746177,45.163
1367092768,1367092760,23.469
1367092768,1651414388,97.164
1367092768,8695632893,194.82500000000002
1367092773,1643351801,282.515
1367092773,1367092779,37.484
1367092773,1367092760,119.421
1367092779,7361765515,150.993
1367092779,9898838390,180.701
1367092779,1367092773,37.484
1367092892,11052039298,72.814
1367092904,6576079903,27.575
1367092912,1651414424,96.011
1367092912,3547918446,83.365
1367092912,1651414421,57.881
1367092912,2957204347,65.772
1367092932,1367092933,49.116
1367092932,1651414450,92.143
1367092932,1643351826,136.063
1367092932,6574225213,201.064
1367092933,245665375,18.597
1367092933,1367092932,49.116
1367092933,245665344,390.444
